1등 자동 당첨 건수,상호,순번,지역
10,인터넷 복권판매사이트,1,서울 서초구
3,종합복권슈퍼,2,경기 시흥시
3,한꿈복권방,3,울산 중구
3,부일카서비스,4,부산 동구
3,오천억복권방,5,광주 서구
2,행복한사람들 (흥부네),6,경기 광주시
2,패밀리복권방,7,경기 남양주시
2,대길복권,8,경기 수원시 장안구
2,나눔로또한대점,9,경기 안산시 상록구
2,세븐일레븐 홍익점,10,경기 안성시
2,일등복권,11,경기 양주시
2,복권,12,경기 의정부시
2,우리로또,13,경기 의정부시
2,대전우표사,14,대전 동구
2,롯데무역,15,부산 영도구
2,복권나라,16,서울 관악구
2,그랜드마트앞가판점,17,서울 마포구
2,제이복권방,18,서울 종로구
2,대박천하마트,19,인천 부평구
2,당하복권명당,20,인천 서구
2,NBA(엔비에이),21,인천 중구
2,복권세상,22,전남 목포시
2,행운복권,23,전남 무안군
2,복권명당,24,경북 경산시
2,NG24,25,경북 칠곡군
2,로또복권 포항IC점,26,경북 포항시 북구
2,알리바이,27,광주 광산구
2,대광복권방,28,전남 화순군
2,베스트올수성점,29,전북 정읍시
2,로또명당해미점,30,충남 서산시
2,로또명당인주점,31,충남 아산시
2,금두꺼비복권방,32,경기 고양시 일산서구
2,흥양마중물,33,강원 원주시
2,황금복권방,34,강원 원주시
2,로또복권두정점,35,충남 천안시 서북구
2,진평양행,36,강원 강릉시
2,주택복권방,37,강원 원주시
1,럭키복권점,38,강원 강릉시
1,TO TO,39,강원 강릉시
1,도계복권방,40,강원 삼척시
1,예지몽 로또,41,강원 원주시
1,토토세상,42,강원 원주시
1,복권나라,43,강원 원주시
1,성원 복권방,44,강원 인제군
1,행운로또,45,강원 춘천시
1,백억만로또,46,강원 춘천시
1,대박의터,47,강원 춘천시
1,드림오피스문구,48,강원 춘천시
1,엠에스리테일점,49,강원 춘천시
1,철암로또점,50,강원 태백시
1,평창로또,51,강원 평창군
1,봉평명당,52,강원 평창군
1,대박로또,53,경기 가평군
1,꽃길로또방,54,경기 고양시 덕양구
1,삼송행운복권점,55,경기 고양시 덕양구
1,굿샷,56,경기 고양시 일산동구
1,대박나라 돼지공주,57,경기 고양시 일산동구
1,일산복권,58,경기 고양시 일산서구
1,주엽역 로또판매점,59,경기 고양시 일산서구
1,오렌지25,60,경기 고양시 일산서구
1,이마트24 일산덕이점,61,경기 고양시 일산서구
1,광민 노다지 복권방,62,경기 광명시
1,광명로또명당,63,경기 광명시
1,진우행운복권방,64,경기 광주시
1,대박,65,경기 구리시
1,훼밀리슈퍼,66,경기 구리시
1,대운,67,경기 김포시
1,차부상회,68,경기 김포시
1,대곶천국열쇠 로또명당,69,경기 김포시
1,한아름 복권,70,경기 김포시
1,로또맛집배은복,71,경기 김포시
1,행운로또,72,경기 김포시
1,행운,73,경기 남양주시
1,예스복권방,74,경기 남양주시
1,세븐일레븐남양주차산점,75,경기 남양주시
1,민복권,76,경기 동두천시
1,버스매표소,77,경기 부천시 소사구
1,황금당,78,경기 부천시 오정구
1,로또대박,79,경기 부천시 원미구
1,풍전슈퍼,80,경기 부천시 원미구
1,도담복권,81,경기 부천시 원미구
1,세븐일레븐 중동현대점,82,경기 부천시 원미구
1,대박슈퍼,83,경기 부천시 원미구
1,그린마트,84,경기 성남시 분당구
1,나눔로또 판교역점,85,경기 성남시 분당구
1,111호,86,경기 성남시 분당구
1,태평고개 가판대,87,경기 성남시 수정구
1,황금열매,88,경기 성남시 중원구
1,1번지복권방,89,경기 성남시 중원구
1,건우유통,90,경기 성남시 중원구
1,은행복권방,91,경기 성남시 중원구
1,복권판매점,92,경기 성남시 중원구
1,천하명당복권방 곡반한솔점,93,경기 수원시 권선구
1,호매실복권방,94,경기 수원시 권선구
1,온누리로또,95,경기 수원시 권선구
1,호매실 드림로또,96,경기 수원시 권선구
1,1등 복권,97,경기 시흥시
1,25시슈퍼,98,경기 시흥시
1,대박나라,99,경기 시흥시
1,까치복권방,100,경기 시흥시
1,희망을주는사람,101,경기 용인시 처인구
1,행복로또판매점,102,경기 의정부시
2,복권,103,경기 의정부시
1,복권방,104,경기 의정부시
1,북부슈퍼,105,경기 의정부시
2,우리로또,106,경기 의정부시
1,행운복권방,107,경기 의정부시
1,드림복권방,108,경기 의정부시
1,에이치엑스(HX)복권방,109,경기 이천시
1,마리골드,110,대전 대덕구
1,천하명당복권방,111,대전 대덕구
1,히든로또,112,대전 대덕구
2,대전우표사,113,대전 동구
1,돈돈복권방,114,대전 서구
1,8888로또,115,대전 서구
1,관저중앙로또,116,대전 서구
1,온천로또방,117,대전 유성구
1,대전하이퍼,118,대전 중구
1,로또는내운명,119,대전 중구
1,복권명당,120,대전 중구
1,서원복권방,121,부산 강서구
1,다온복권방,122,부산 금정구
1,돼지복권명당,123,부산 기장군
1,해바라기 복권방,124,부산 기장군
1,기장슈퍼,125,부산 기장군
1,복남이로또방,126,부산 남구
1,비에이치(BH)복권,127,부산 남구
1,아이스마켓,128,부산 남구
1,황금로또,129,부산 동구
3,부일카서비스,130,부산 동구
1,돈벼락맞는곳,131,부산 동구
1,행운복권방,132,부산 동래구
1,빅세일복권방,133,부산 부산진구
1,매일로또,134,부산 부산진구
1,대구연쇄점,135,부산 부산진구
1,럭키,136,부산 북구
1,대박로또,137,부산 북구
1,스위트초이스,138,부산 사상구
1,로또판매점,139,부산 사하구
1,강서복권방,140,부산 사하구
